利用日,利用店名・商品名,利用者,支払方法,利用金額,手数料/利息,支払総額,2月支払金額,3月繰越残高,新規サイン,,支払内容,インボイス,税率,,,,
2026/1/31,コメリＨ＆Ｇ熊野店,本人,1回払い,14720,0,14720,14720,0,*,,消,○,10%,,8%,○,プ
2026/1/31,AMAZON.CO.JP,本人,1回払い,5436,0,5436,5436,0,*,,消,○,10%,,10%,×,消
2026/1/30,ローソン,本人,1回払い,718,0,718,718,0,*,,プ,,,,,,通
2026/1/30,ｵ-ｸﾜ ｱﾘﾏﾃﾝ,本人,1回払い,2608,0,2608,2608,0,*,,プ,,,,,,交
2026/1/29,ローソン,本人,1回払い,1248,0,1248,1248,0,*,,プ,,,,,,燃料
2026/1/29,ローソン,本人,1回払い,750,0,750,750,0,*,,プ,,,,,,光
2026/1/29,APPLE COM BILL,本人,1回払い,450,0,450,450,0,*,,通,○,10%,,,,事貸
2026/1/27,ヤクルト届けてネット（三重）,本人,1回払い,983,0,983,983,0,*,,福,○,8%,,,,保
2026/1/27,ｵ-ｸﾜ ｸﾏﾉﾃﾝ,本人,1回払い,5069,0,5069,5069,0,*,,プ,,,,,,複合
2026/1/26,ローソン,本人,1回払い,2158,0,2158,2158,0,*,,プ,,,,,,福
2026/1/25,無印良品,本人,1回払い,690,0,690,690,0,*,,交,○,10%,,,,諸
2026/1/25,ｵ-ｸﾜ ｱﾘﾏﾃﾝ,本人,1回払い,2356,0,2356,2356,0,*,,プ,,,,,,
2026/1/23,ローソン,本人,1回払い,840,0,840,840,0,*,,プ,,,,,,
2026/1/22,伊藤忠エネクス,本人,1回払い,4682,0,4682,4682,0,*,,燃料,○,10%,,,,
2026/1/21,ローソン,本人,1回払い,2247,0,2247,2247,0,*,,消,○,8%,,,,
2026/1/21,ﾄﾞﾗﾂｸﾞｾｲﾑｽｸﾏﾉｱﾘﾏﾃ,本人,1回払い,2135,0,2135,2135,0,*,,消,○,8%,,,,
2026/1/21,ｼﾕﾌﾉﾐｾ ｸﾏﾉﾃﾝ,本人,1回払い,440,0,440,440,0,*,,消,○,10%,,,,
2026/1/20,ヤクルト届けてネット（三重）,本人,1回払い,983,0,983,983,0,*,,福,○,8%,,,,
2026/1/19,ローソン,本人,1回払い,819,0,819,819,0,*,,プ,,,,,,
2026/1/18,ローソン,本人,1回払い,1280,0,1280,1280,0,*,,プ,,,,,,
2026/1/17,ローソン,本人,1回払い,954,0,954,954,0,*,,プ,,,,,,
2026/1/17,ローソン,本人,1回払い,3115,0,3115,3115,0,*,,プ,,,,,,
2026/1/17,ｂｏｏｋｆａｎ　２号店　楽天市,本人,1回払い,2310,0,2310,2310,0,*,,消,○,10%,,,,
2026/1/16,AMAZON.CO.JP,本人,1回払い,5990,0,5990,5990,0,*,,消,○,10%,,,,
2026/1/16,インクのチップス　楽天市場店,本人,1回払い,9324,0,9324,9324,0,*,,消,○,10%,,,,
2026/1/16,関西電力　　電気料金　２６／０１,本人,1回払い,13366,0,13366,13366,0,*,,光,○,10%,,,,
2026/1/15,コメリＨ＆Ｇ熊野店,本人,1回払い,1980,0,1980,1980,0,*,,消,○,10%,,,,
2026/1/15,ﾓｽﾊﾞ-ｶﾞ-,本人,1回払い,3840,0,3840,3840,0,*,,交,○,8%,,,,
2026/1/15,ＺＴＶ　通信利用料金,本人,1回払い,2970,0,2970,2970,0,*,,通,○,10%,,,,
2026/1/15,ＺＴＶ　通信利用料金,本人,1回払い,3300,0,3300,3300,0,*,,通,○,10%,,,,
2026/1/15,ＺＴＶケーブルプラス電話利用料,本人,1回払い,1467,0,1467,1467,0,*,,通,○,10%,,,,
2026/1/15,ＺＴＶケーブルプラス電話通話料,本人,1回払い,8,0,8,8,0,*,,通,○,10%,,,,
2026/1/15,ＺＴＶ　ＴＶ利用料金,本人,1回払い,1100,0,1100,1100,0,*,,通,○,10%,,,,
2026/1/14,ローソン,本人,1回払い,1794,0,1794,1794,0,*,,プ,,,,,,
2026/1/14,国民年金保険料　月払　２６／０１,本人,1回払い,17510,0,17510,17510,0,*,,事貸,,,,,,
2026/1/14,関西電力　　電気料金　２６／０１,本人,1回払い,6643,0,6643,6643,0,*,,光,○,10%,,,,
2026/1/14,伊藤忠エネクス,本人,1回払い,4138,0,4138,4138,0,*,,燃料,○,10%,,,,
2026/1/13,ローソン,本人,1回払い,949,0,949,949,0,*,,プ,,,,,,
2026/1/13,ヤクルト届けてネット（三重）,本人,1回払い,983,0,983,983,0,*,,福,○,8%,,,,
2026/1/13,ｵ-ｸﾜ ｸﾏﾉﾃﾝ,本人,1回払い,548,0,548,548,0,*,,消,○,10%,,,,
2026/1/10,ローソン,本人,1回払い,840,0,840,840,0,*,,プ,,,,,,
2026/1/10,ローソン,本人,1回払い,1780,0,1780,1780,0,*,,プ,,,,,,
2026/1/10,伊藤忠エネクス,本人,1回払い,2124,0,2124,2124,0,*,,燃料,○,10%,,,,
2026/1/8,ｼﾕﾌﾉﾐｾ ｸﾏﾉﾃﾝ,本人,1回払い,3691,0,3691,3691,0,*,,プ,,,,,,
2026/1/8,ファッションセンターしまむら,本人,1回払い,6600,0,6600,6600,0,*,,消,○,10%,,,,
2026/1/6,ヤクルト届けてネット（三重）,本人,1回払い,983,0,983,983,0,*,,福,○,8%,,,,
2026/1/6,ｷﾞﾖｳﾑｽ-ﾊﾟ- ｼﾝｸﾞｳﾃ,本人,1回払い,5132,0,5132,5132,0,*,,プ,,,,,,
2026/1/6,ﾖｼﾉﾔ,本人,1回払い,2856,0,2856,2856,0,*,,交,○,10%,,,,
2026/1/4,ローソン,本人,1回払い,839,0,839,839,0,*,,プ,,,,,,
2026/1/4,ｵ-ｸﾜ ｱﾘﾏﾃﾝ,本人,1回払い,3652,0,3652,3652,0,*,,プ,,,,,,
2026/1/2,ｱﾙ,本人,1回払い,900,0,900,900,0,*,,交,×,8%,,,,
2026/1/2,ﾏｸﾄﾞﾅﾙﾄﾞ,本人,1回払い,2050,0,2050,2050,0,*,,交,○,8%,,,,
2026/1/2,ｲｵﾝ ｼﾝｸﾞｳ,本人,1回払い,2247,0,2247,2247,0,*,,プ,,,,,,
2026/1/2,ｲｵﾝ ｼﾝｸﾞｳ,本人,1回払い,321,0,321,321,0,*,,プ,,,,,,
2026/1/2,ﾀﾞｲｿ-/NFC,本人,1回払い,1525,0,1525,1525,0,*,,消,○,10%,,,,
2026/1/2,ファミリーマート,本人,1回払い,840,0,840,840,0,*,,プ,,,,,,
2025/12/31,ドコモご利用料金　　　　　０１月分,本人,1回払い,9550,0,9550,9550,0,*,,通,○,10%,,,,
2025/12/27,伊藤忠エネクス,本人,1回払い,6372,0,6372,6372,0,*,,燃料,○,10%,,,,
2025/12/26,伊藤忠エネクス,本人,1回払い,3849,0,3849,3849,0,*,,燃料,○,10%,,,,
