priority,keyword,debit_account,credit_account,tax_category
1,振込入金　ﾄｳｶｲｾｲｿﾞｳ　コンサル料,普通預金,売上高,課税売上
1,振込入金　ｺﾞｳﾄﾞｳｶｲｼｬｳｪｽﾄ　顧問料,普通預金,売上高,課税売上
1,振込入金　ﾎｸﾘｸﾌｰｽﾞ　研修費,普通預金,売上高,課税売上
1,振込入金　ﾄｳﾎｳｼｽﾃﾑ　コンサル料,普通預金,売上高,課税売上
1,振込入金　ﾐｴｹﾝｾﾂ　研修費,普通預金,売上高,課税売上
1,振込入金　ｱｲﾁｼｮｳｼﾞ　コンサル料,普通預金,売上高,課税売上
1,振込入金　ｷﾞﾌﾃｯｸ　研修費,普通預金,売上高,課税売上
1,振込入金　ｽｽﾞｷｾｲｺｳ　スポット研修,普通預金,売上高,課税売上
1,振込入金　ﾅｺﾞﾔｺｰﾎﾟ　顧問料,普通預金,売上高,課税売上
1,振込入金　ﾄｳｶｲｾｲｿﾞｳ　2月分精算,普通預金,売上高,課税売上
1,ｾﾐﾅｰ参加費,普通預金,売上高,課税売上
9,振込入金,普通預金,売上高,課税売上
1,給与振込,給料手当,普通預金,対象外
1,社会保険料,法定福利費,普通預金,対象外
1,源泉所得税,預り金,普通預金,対象外
1,Amazon　書籍購入,図書費,普通預金,課税仕入
1,Amazon　書籍,図書費,普通預金,課税仕入
1,Amazon　消耗品,消耗品費,普通預金,課税仕入
1,Amazon　事務用品,消耗品費,普通預金,課税仕入
1,Amazon　PCアクセサリ,消耗品費,普通預金,課税仕入
1,Amazon　プリンタートナー,消耗品費,普通預金,課税仕入
2,Amazon,消耗品費,普通預金,課税仕入
1,電話料金,通信費,普通預金,課税仕入
1,NTT,通信費,普通預金,課税仕入
1,Zoom,通信費,普通預金,課税仕入
1,Microsoft365,通信費,普通預金,課税仕入
1,ヤマト運輸,通信費,普通預金,課税仕入
1,中部電力,水道光熱費,普通預金,課税仕入
1,電気代,水道光熱費,普通預金,課税仕入
1,東京ガス,水道光熱費,普通預金,課税仕入
1,ガス代,水道光熱費,普通預金,課税仕入
1,新幹線,旅費交通費,普通預金,課税仕入
1,JR,旅費交通費,普通預金,課税仕入
1,地下鉄,旅費交通費,普通預金,課税仕入
1,名鉄バス,旅費交通費,普通預金,課税仕入
1,高速道路,旅費交通費,普通預金,課税仕入
1,NEXCO,旅費交通費,普通預金,課税仕入
1,楽天トラベル,旅費交通費,普通預金,課税仕入
1,コメダ珈琲,会議費,普通預金,課税仕入
1,ドトールコーヒー,会議費,普通預金,課税仕入
1,マクドナルド,会議費,普通預金,課税仕入
1,セブンイレブン,消耗品費,普通預金,課税仕入
1,ローソン,消耗品費,普通預金,課税仕入
1,ﾌｧﾐﾘｰﾏｰﾄ,消耗品費,普通預金,課税仕入
1,ファミリーマート,消耗品費,普通預金,課税仕入
1,コクヨ,消耗品費,普通預金,課税仕入
1,文房具,消耗品費,普通預金,課税仕入
1,ｵﾌｨｽﾖｳﾋﾝ,消耗品費,普通預金,課税仕入
1,印刷,広告宣伝費,普通預金,課税仕入
1,資料作成,外注費,普通預金,課税仕入
1,ｸﾘｴｲﾃｨﾌﾞ,外注費,普通預金,課税仕入
1,クリエイティブ,外注費,普通預金,課税仕入
1,給与計算代行,外注費,普通預金,課税仕入
1,顧問弁護士,支払報酬,普通預金,課税仕入
1,税理士事務所,支払報酬,普通預金,課税仕入
1,社労士事務所,支払報酬,普通預金,課税仕入
1,家賃,地代家賃,普通預金,課税仕入
1,損保ジャパン,保険料,普通預金,非課税仕入
